MAPID,LATITUDE,LONGITUDE,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFENG0016,49.262066,-123.065619,Southeast corner of Broadway & Victoria,Engineering,May-October,N,Broadway Victoria 2.JPG
DFENG0024,49.27924755,-123.1292321,Northwest corner of Burrard & Davie,Engineering,Year Round,N,Davie&Burrard.jpg
DFENG0005,49.28451988,-123.1395544,In the mini park at Cardero & Burnaby,Engineering,May-October,N,P2080275.JPG
DFENG0021,49.2678194,-123.0693907,Northeast corner of Commercial & 3rd,Engineering,May-October,Y,Commercial&3rd.jpg
DFENG0025,49.2867384,-123.136516,Northeast corner of Comox & Cardero,Engineering,Year Round,N,Comox&Cardero.jpg
DFENG0026,49.29067407,-123.1426469,In mini park at Comox & Chilco,Engineering,May-October,N,Comox&Chilco.jpg
DFENG0027,49.2887857,-123.13969,Northwest corner of Comox & Denman,Engineering,Year Round,N,Comox&Denman.jpg
DFENG0033,49.28922483,-123.1385485,Southwest corner of Denman & Nelson,Engineering,May-October,N,P3011141.JPG
DFENG0017,49.2365274,-123.084037,Northwest corner of Elgin & 37th,Engineering,May-October,N,Elgin&37th.jpg
DFENG0028,49.28977703,-123.1412866,Northwest corner of Gilford & Comox,Engineering,May-October,N,Comox&Gilford.jpg
DFENG0006,49.29049866,-123.1402252,Northwest corner of Gilford & Nelson,Engineering,May-October,N,P3011198.jpg
DFENG0029,49.2173117,-123.139586,Northeast corner of Granville & 59th,Engineering,Year Round,N,Granville&59th.jpg
DFENG0019,49.281542,-123.119937,Northwest corner of Granville & Robson,Engineering,Year Round,N,Granville Robson 2.JPG
DFENG0020,49.281386,-123.097231,Northeast corner of Hastings & Gore,Engineering,Year Round,Y,Hastings&Gore.jpg
DFENG0034,49.280998,-123.054448,Northeast corner of Hastings & Kamloops,Engineering,May-October,N,Hastings Kamploops 1.JPG
DFENG0023,49.2610594,-123.100784,Southeast corner of Main & 11th,Engineering,Year Round,N,Main&11th.jpg
DFENG0007,49.28571023,-123.1333368,In mini park at Nelson & Broughton,Engineering,May-October,N,P2130403.JPG
DFENG0008,49.282385,-123.140508,Northeast corner of Nicola & Beach,Engineering,May-October,N,Nicola Beach 1.JPG
DFENG0009,49.28306599,-123.1222905,Northeast corner of Robson & Burrard,Engineering,May-October,Y,P2190667.JPG
DFENG0010,49.29345716,-123.13827,In mini park at Robson & Chilco,Engineering,May-October,N,P2020133.JPG
DFENG0030,49.2775724,-123.087389,In mini park at Union & Hawks,Engineering,Year Round,N,Union&Hawks.jpg
DFENG0031,49.262294,-123.114544,Northeast corner of Cambie & 10th,Engineering,Year Round,N,
DFENG0039,49.281882,-123.133952,1200 Davie Street,Engineering,Year Round,Y,
DFENG0037,49.229344,-123.127987,Northeast corner of Oak & 46th,Engineering,Year Round,N,Oak&46th.jpg
DFENG0040,49.271936,-123.179475,1600 Waterloo St,Engineering,Year Round,N,
DFENG0041,49.205331,-123.031131,Northeast corner of River District Crossing & E Kent Ave North,Engineering,May-October,N,
DFENG0038,49.279672,-123.123513,Southeast corner of Nelson & Howe,Engineering,Year Round,N,
DFENG0036,49.271674,-123.167863,Northwest corner of Pt. Grey & MacDonald,Engineering,Year Round,N,Pt. Grey&MacDonald.jpg
DFENG0035,49.262628,-123.089225,Northwest corner of Fraser & Broadway ,Engineering,Year Round,N,
